"Trial","Year","AgeBucket","Age","Female","Male"
1,2027,1,40,28,36
1,2027,1,41,28,35
1,2027,1,42,27,34
1,2027,1,43,26,33
1,2027,1,44,26,32
1,2027,1,45,25,31
1,2027,1,46,24,30
1,2027,1,47,24,29
1,2027,1,48,23,28
1,2027,1,49,22,27
1,2027,1,50,21,26
1,2027,1,51,20,25
1,2027,1,52,20,24
1,2027,1,53,19,23
1,2027,1,54,18,22
1,2027,1,55,17,20
1,2027,1,56,16,19
1,2027,1,57,16,18
1,2027,1,58,15,17
1,2027,1,59,14,16
1,2027,1,60,13,15
1,2027,1,61,12,14
1,2027,1,62,12,13
1,2027,1,63,11,12
1,2027,1,64,10,12
1,2027,1,65,9,11
1,2027,1,66,9,10
1,2027,1,67,8,9
1,2027,1,68,7,8
1,2027,1,69,7,8
1,2027,1,70,6,7
1,2027,1,71,6,6
1,2027,1,72,5,6
1,2027,1,73,5,5
1,2027,1,74,4,5
1,2027,1,75,4,4
1,2027,1,76,4,4
1,2027,1,77,3,4
1,2027,1,78,3,3
1,2027,1,79,3,3
1,2027,1,80,2,3
1,2027,1,81,2,3
1,2027,1,82,2,3
1,2027,1,83,2,2
1,2027,1,84,2,2
1,2027,1,85,1,2
1,2027,1,86,1,2
1,2027,1,87,1,2
1,2027,1,88,1,2
1,2027,1,89,1,2
1,2027,1,90,1,2
1,2027,1,91,1,2
1,2027,1,92,1,2
1,2027,1,93,1,2
1,2027,1,94,1,2
1,2027,1,95,1,2
1,2027,1,96,1,2
1,2027,1,97,1,2
1,2027,1,98,0,2
1,2027,1,99,0,2
1,2027,1,100,0,2
1,2028,1,0,112,113
1,2028,1,1,110,111
1,2028,1,2,102,102
1,2028,1,3,95,95
1,2028,1,4,94,94
1,2028,1,5,88,86
1,2028,1,6,92,91
1,2028,1,7,89,89
1,2028,1,8,45,43
1,2028,1,9,45,44
1,2028,1,10,44,44
1,2028,1,11,44,44
1,2028,1,12,43,44
1,2028,1,13,43,44
1,2028,1,14,42,44
1,2028,1,15,42,45
1,2028,1,16,41,45
1,2028,1,17,41,45
1,2028,1,18,40,45
1,2028,1,19,40,45
1,2028,1,20,39,45
1,2028,1,21,39,45
1,2028,1,22,38,45
1,2028,1,23,38,45
1,2028,1,24,38,45
1,2028,1,25,37,45
1,2028,1,26,37,45
1,2028,1,27,36,45
1,2028,1,28,36,44
1,2028,1,29,35,44
1,2028,1,30,34,44
1,2028,1,31,34,43
1,2028,1,32,33,43
1,2028,1,33,33,42
1,2028,1,34,32,42
1,2028,1,35,32,41
1,2028,1,36,31,40
1,2028,1,37,31,39
1,2028,1,38,30,39
1,2028,1,39,29,38
1,2028,1,40,29,37
1,2028,1,41,28,36
1,2028,1,42,28,35
1,2028,1,43,27,34
1,2028,1,44,26,33
1,2028,1,45,26,32
1,2028,1,46,25,31
1,2028,1,47,24,30
1,2028,1,48,24,29
1,2028,1,49,23,28
1,2028,1,50,22,27
1,2028,1,51,21,26
1,2028,1,52,20,25
1,2028,1,53,20,24
1,2028,1,54,19,23
1,2028,1,55,18,22
1,2028,1,56,17,20
1,2028,1,57,16,19
1,2028,1,58,16,18
1,2028,1,59,15,17
1,2028,1,60,14,16
1,2028,1,61,13,15
1,2028,1,62,12,14
1,2028,1,63,12,13
1,2028,1,64,11,12
1,2028,1,65,10,12
1,2028,1,66,9,11
1,2028,1,67,9,10
1,2028,1,68,8,9
1,2028,1,69,7,8
1,2028,1,70,7,8
1,2028,1,71,6,7
1,2028,1,72,6,6
1,2028,1,73,5,6
1,2028,1,74,5,5
1,2028,1,75,4,5
1,2028,1,76,4,4
1,2028,1,77,4,4
1,2028,1,78,3,4
1,2028,1,79,3,3
1,2028,1,80,3,3
1,2028,1,81,2,3
1,2028,1,82,2,3
1,2028,1,83,2,3
1,2028,1,84,2,2
1,2028,1,85,2,2
1,2028,1,86,1,2
1,2028,1,87,1,2
1,2028,1,88,1,2
1,2028,1,89,1,2
1,2028,1,90,1,2
1,2028,1,91,1,2
1,2028,1,92,1,2
1,2028,1,93,1,2
1,2028,1,94,1,2
1,2028,1,95,1,2
1,2028,1,96,1,2
1,2028,1,97,1,2
1,2028,1,98,1,2
1,2028,1,99,0,2
1,2028,1,100,0,2
1,2029,1,0,112,114
1,2029,1,1,112,113
1,2029,1,2,110,111
1,2029,1,3,102,102
1,2029,1,4,95,95
1,2029,1,5,94,94
1,2029,1,6,88,86
1,2029,1,7,92,91
1,2029,1,8,89,89
1,2029,1,9,45,43
1,2029,1,10,45,44
1,2029,1,11,44,44
1,2029,1,12,44,44
1,2029,1,13,43,44
1,2029,1,14,43,44
1,2029,1,15,42,44
1,2029,1,16,42,45
1,2029,1,17,41,45
1,2029,1,18,41,45
1,2029,1,19,40,45
1,2029,1,20,40,45
1,2029,1,21,39,45
1,2029,1,22,39,45
1,2029,1,23,38,45
1,2029,1,24,38,45
1,2029,1,25,38,45
1,2029,1,26,37,45
1,2029,1,27,37,45
1,2029,1,28,36,45
1,2029,1,29,36,44
1,2029,1,30,35,44
1,2029,1,31,34,44
1,2029,1,32,34,43
1,2029,1,33,33,43
1,2029,1,34,33,42
1,2029,1,35,32,42
1,2029,1,36,32,41
1,2029,1,37,31,40
1,2029,1,38,31,39
1,2029,1,39,30,39
1,2029,1,40,29,38
1,2029,1,41,29,37
1,2029,1,42,28,36
1,2029,1,43,28,35
1,2029,1,44,27,34
1,2029,1,45,26,33
1,2029,1,46,26,32
1,2029,1,47,25,31
1,2029,1,48,24,30
1,2029,1,49,24,29
1,2029,1,50,23,28
1,2029,1,51,22,27
1,2029,1,52,21,26
1,2029,1,53,20,25
1,2029,1,54,20,24
1,2029,1,55,19,23
1,2029,1,56,18,22
1,2029,1,57,17,20
1,2029,1,58,16,19
1,2029,1,59,16,18
1,2029,1,60,15,17
1,2029,1,61,14,16
1,2029,1,62,13,15
1,2029,1,63,12,14
1,2029,1,64,12,13
1,2029,1,65,11,12
1,2029,1,66,10,12
1,2029,1,67,9,11
1,2029,1,68,9,10
1,2029,1,69,8,9
1,2029,1,70,7,8
1,2029,1,71,7,8
1,2029,1,72,6,7
1,2029,1,73,6,6
1,2029,1,74,5,6
1,2029,1,75,5,5
1,2029,1,76,4,5
1,2029,1,77,4,4
1,2029,1,78,4,4
1,2029,1,79,3,4
1,2029,1,80,3,3
1,2029,1,81,3,3
1,2029,1,82,2,3
1,2029,1,83,2,3
1,2029,1,84,2,3
1,2029,1,85,2,2
1,2029,1,86,2,2
1,2029,1,87,1,2
1,2029,1,88,1,2
1,2029,1,89,1,2
1,2029,1,90,1,2
1,2029,1,91,1,2
1,2029,1,92,1,2
1,2029,1,93,1,2
1,2029,1,94,1,2
1,2029,1,95,1,2
1,2029,1,96,1,2
1,2029,1,97,1,2
1,2029,1,98,1,2
1,2029,1,99,1,2
1,2029,1,100,0,2
1,2030,1,0,118,120
1,2030,1,1,112,114
1,2030,1,2,112,113
1,2030,1,3,110,111
1,2030,1,4,102,102
1,2030,1,5,95,95
1,2030,1,6,94,94
1,2030,1,7,88,86
1,2030,1,8,92,91
1,2030,1,9,89,89
1,2030,1,10,45,43
1,2030,1,11,45,44
1,2030,1,12,44,44
1,2030,1,13,44,44
1,2030,1,14,43,44
1,2030,1,15,43,44
1,2030,1,16,42,44
1,2030,1,17,42,45
1,2030,1,18,41,45
1,2030,1,19,41,45
1,2030,1,20,40,45
1,2030,1,21,40,45
1,2030,1,22,39,45
1,2030,1,23,39,45
1,2030,1,24,38,45
1,2030,1,25,38,45
1,2030,1,26,38,45
1,2030,1,27,37,45
1,2030,1,28,37,45
1,2030,1,29,36,45
1,2030,1,30,36,44
1,2030,1,31,35,44
1,2030,1,32,34,44
1,2030,1,33,34,43
1,2030,1,34,33,43
1,2030,1,35,33,42
1,2030,1,36,32,42
1,2030,1,37,32,41
1,2030,1,38,31,40
1,2030,1,39,31,39
1,2030,1,40,30,39
1,2030,1,41,29,38
1,2030,1,42,29,37
1,2030,1,43,28,36
1,2030,1,44,28,35
1,2030,1,45,27,34
1,2030,1,46,26,33
1,2030,1,47,26,32
1,2030,1,48,25,31
1,2030,1,49,24,30
1,2030,1,50,24,29
1,2030,1,51,23,28
1,2030,1,52,22,27
